Date_Tableau,Date_PB,Date_Exp,Weekday,Weekend,Weekend2,Saturday,Sunday,Value
9-Jun-18,09-06-2018,2018-06-09,7,1,1,1,0,10217.3246
10-Jun-18,10-06-2018,2018-06-10,1,1,2,0,1,13533.86424
11-Jun-18,11-06-2018,2018-06-11,2,0,0,0,0,12882.51946
12-Jun-18,12-06-2018,2018-06-12,3,0,0,0,0,13853.463
13-Jun-18,13-06-2018,2018-06-13,4,0,0,0,0,12923.67878
14-Jun-18,14-06-2018,2018-06-14,5,0,0,0,0,8511.72346
15-Jun-18,15-06-2018,2018-06-15,6,0,0,0,0,8658.16967
16-Jun-18,16-06-2018,2018-06-16,7,1,1,1,0,9309.9777
17-Jun-18,17-06-2018,2018-06-17,1,1,2,0,1,7733.50015
18-Jun-18,18-06-2018,2018-06-18,2,0,0,0,0,9128.82658
19-Jun-18,19-06-2018,2018-06-19,3,0,0,0,0,7584.37382
20-Jun-18,20-06-2018,2018-06-20,4,0,0,0,0,11037.45462
21-Jun-18,21-06-2018,2018-06-21,5,0,0,0,0,8685.23595
22-Jun-18,22-06-2018,2018-06-22,6,0,0,0,0,10418.62356
23-Jun-18,23-06-2018,2018-06-23,7,1,1,1,0,11100.13144
24-Jun-18,24-06-2018,2018-06-24,1,1,2,0,1,9654.11915
25-Jun-18,25-06-2018,2018-06-25,2,0,0,0,0,9241.98889
26-Jun-18,26-06-2018,2018-06-26,3,0,0,0,0,12728.18318
27-Jun-18,27-06-2018,2018-06-27,4,0,0,0,0,12118.40112
28-Jun-18,28-06-2018,2018-06-28,5,0,0,0,0,9364.20524
29-Jun-18,29-06-2018,2018-06-29,6,0,0,0,0,11006.04836
30-Jun-18,30-06-2018,2018-06-30,7,1,1,1,0,6277.75884
1-Jul-18,01-07-2018,2018-07-01,1,1,2,0,1,9697.2186
2-Jul-18,02-07-2018,2018-07-02,2,0,0,0,0,9630.66937
3-Jul-18,03-07-2018,2018-07-03,3,0,0,0,0,9650.17033
4-Jul-18,04-07-2018,2018-07-04,4,0,0,0,0,8444.27889
5-Jul-18,05-07-2018,2018-07-05,5,0,0,0,0,6949.69327
6-Jul-18,06-07-2018,2018-07-06,6,0,0,0,0,8744.34389
7-Jul-18,07-07-2018,2018-07-07,7,1,1,1,0,8146.74849
8-Jul-18,08-07-2018,2018-07-08,1,1,2,0,1,8709.26881
9-Jul-18,09-07-2018,2018-07-09,2,0,0,0,0,8101.46111
10-Jul-18,10-07-2018,2018-07-10,3,0,0,0,0,9090.39304
11-Jul-18,11-07-2018,2018-07-11,4,0,0,0,0,13428.32382
12-Jul-18,12-07-2018,2018-07-12,5,0,0,0,0,11005.10495
13-Jul-18,13-07-2018,2018-07-13,6,0,0,0,0,8329.17794
14-Jul-18,14-07-2018,2018-07-14,7,1,1,1,0,12160.76568
15-Jul-18,15-07-2018,2018-07-15,1,1,2,0,1,12534.77698
16-Jul-18,16-07-2018,2018-07-16,2,0,0,0,0,6717.30666
17-Jul-18,17-07-2018,2018-07-17,3,0,0,0,0,8387.52731
18-Jul-18,18-07-2018,2018-07-18,4,0,0,0,0,8495.4327
19-Jul-18,19-07-2018,2018-07-19,5,0,0,0,0,9795.88129
20-Jul-18,20-07-2018,2018-07-20,6,0,0,0,0,10067.67898
21-Jul-18,21-07-2018,2018-07-21,7,1,1,1,0,6135.3469
22-Jul-18,22-07-2018,2018-07-22,1,1,2,0,1,11811.17701
23-Jul-18,23-07-2018,2018-07-23,2,0,0,0,0,6759.97583
24-Jul-18,24-07-2018,2018-07-24,3,0,0,0,0,7067.89588
25-Jul-18,25-07-2018,2018-07-25,4,0,0,0,0,8269.77078
26-Jul-18,26-07-2018,2018-07-26,5,0,0,0,0,11069.40894
27-Jul-18,27-07-2018,2018-07-27,6,0,0,0,0,7017.4545
28-Jul-18,28-07-2018,2018-07-28,7,1,1,1,0,8968.54035
29-Jul-18,29-07-2018,2018-07-29,1,1,2,0,1,16327.30338
30-Jul-18,30-07-2018,2018-07-30,2,0,0,0,0,8094.16842
31-Jul-18,31-07-2018,2018-07-31,3,0,0,0,0,7666.59593
1-Aug-18,01-08-2018,2018-08-01,4,0,0,0,0,8487.90498
2-Aug-18,02-08-2018,2018-08-02,5,0,0,0,0,9716.31645
3-Aug-18,03-08-2018,2018-08-03,6,0,0,0,0,7673.79176
4-Aug-18,04-08-2018,2018-08-04,7,1,1,1,0,7908.08707
5-Aug-18,05-08-2018,2018-08-05,1,1,2,0,1,14109.50566
6-Aug-18,06-08-2018,2018-08-06,2,0,0,0,0,9946.59973
7-Aug-18,07-08-2018,2018-08-07,3,0,0,0,0,9806.64031
8-Aug-18,08-08-2018,2018-08-08,4,0,0,0,0,8710.82755
9-Aug-18,09-08-2018,2018-08-09,5,0,0,0,0,9750.53005
10-Aug-18,10-08-2018,2018-08-10,6,0,0,0,0,10438.99009
11-Aug-18,11-08-2018,2018-08-11,7,1,1,1,0,10417.58982
12-Aug-18,12-08-2018,2018-08-12,1,1,2,0,1,18333.13326
13-Aug-18,13-08-2018,2018-08-13,2,0,0,0,0,13223.73678
14-Aug-18,14-08-2018,2018-08-14,3,0,0,0,0,12301.22309
15-Aug-18,15-08-2018,2018-08-15,4,0,0,0,0,8401.52184
16-Aug-18,16-08-2018,2018-08-16,5,0,0,0,0,14061.35935
17-Aug-18,17-08-2018,2018-08-17,6,0,0,0,0,8410.70579
18-Aug-18,18-08-2018,2018-08-18,7,1,1,1,0,18217.49254
19-Aug-18,19-08-2018,2018-08-19,1,1,2,0,1,17204.75585
20-Aug-18,20-08-2018,2018-08-20,2,0,0,0,0,6364.23368
21-Aug-18,21-08-2018,2018-08-21,3,0,0,0,0,6239.06382
22-Aug-18,22-08-2018,2018-08-22,4,0,0,0,0,7594.52116
23-Aug-18,23-08-2018,2018-08-23,5,0,0,0,0,8942.50968
24-Aug-18,24-08-2018,2018-08-24,6,0,0,0,0,9443.19862
25-Aug-18,25-08-2018,2018-08-25,7,1,1,1,0,12497.95611
